Torneo,Sede,Resultado,Partidos,Goles,Asistencias
Copa Mundial 2006,Alemania,Cuartos de final,3,1,1
Copa América 2007,Venezuela,Subcampeón,6,2,1
Copa Mundial 2010,Sudáfrica,Cuartos de final,5,0,1
Copa América 2011,Argentina,Cuartos de final,4,0,3
Copa Mundial 2014,Brasil,Subcampeón,7,4,1
Copa América 2015,Chile,Subcampeón,6,1,3
Copa América 2016,Estados Unidos,Subcampeón,5,5,4
Copa Mundial 2018,Rusia,Octavos de final,4,1,2
Copa América 2019,Brasil,Tercer puesto,6,1,1
Copa de Campeones Conmebol-UEFA 2022,Londres,Campeón,1,0,2
Copa Mundial 2022,Catar,Campeón,7,7,3
